"id","src","route","toll.express","time.express","reliability.express","toll.freeway","time.freeway","reliability.freeway","occupance","size","sex","flexibility","distance","commute","age3050","income"
1000966,"cal","freeway",2.90000009536743,-3.47795677185059,-0.693560123443604,0,0,0,1,3,"male","no",26.2700004577637,"yes","no","low"
1000979,"cal","express",1.95000004768372,-1.0257523059845,-1.93139564990997,0,0,0,2,4,"female","yes",24.6599998474121,"no","yes","med"
1000982,"cal","express",3,-3.76111960411072,-0.726060688495636,0,0,0,1,7,"female","no",45.7200012207031,"yes","yes","med"
1001014,"cal","freeway",2.90000009536743,-1.41918122768402,-2.10221219062805,0,0,0,1,6,"male","no",22.9200000762939,"no","yes","low"
1001023,"cal","express",2.90000009536743,-3.75000691413879,-0.701403081417084,0,0,0,1,5,"male","no",42.9300003051758,"yes","yes","high"
1001054,"cal","freeway",1.95000004768372,-1.25785851478577,-0.420971691608429,0,0,0,2,2,"female","yes",40.5400009155273,"no","no","high"
1001096,"cal","freeway",0.975000023841858,-0.910659432411194,-2.46744465827942,0,0,0,3,4,"male","yes",64.6100006103516,"no","yes","med"
1001149,"cal","express",3,-3.80632376670837,-0.800078213214874,0,0,0,1,2,"female","no",26.9599990844727,"yes","no","med"
1001190,"cal","freeway",3,-3.79833388328552,-0.784223020076752,0,0,0,2,2,"female","yes",16.5100002288818,"yes","no","med"
1001192,"cal","freeway",1.64999997615814,-0.767866015434265,-0.297219514846802,0,0,0,1,4,"male","yes",36.9799995422363,"yes","yes","med"
1001246,"cal","freeway",3,-4.55353116989136,-1.74439239501953,0,0,0,1,4,"male","yes",28.7299995422363,"yes","no","high"
1001279,"cal","freeway",1.95000004768372,-0.950417935848236,-2.73068809509277,0,0,0,1,4,"male","yes",29.1299991607666,"no","yes","high"
1001285,"cal","freeway",2.90000009536743,-2.12798714637756,-0.357141107320786,0,0,0,1,2,"female","yes",22.5300006866455,"yes","no","low"
1001288,"cal","freeway",3,-3.76111960411072,-0.726060688495636,0,0,0,1,2,"female","no",13.1000003814697,"yes","no","low"
1001423,"cal","freeway",2.90000009536743,-3.24331402778625,-0.732458770275116,0,0,0,1,4,"male","no",28.6800003051758,"yes","no","low"
1001425,"cal","freeway",3.25,-5.4352912902832,-1.35246932506561,0,0,0,1,3,"male","no",36.0400009155273,"yes","yes","low"
1001465,"cal","freeway",1.45000004768372,-3.66649723052979,-0.580271303653717,0,0,0,3,3,"female","no",25.2000007629395,"yes","no","low"
1001491,"cal","express",3,-3.95936584472656,-1.17551255226135,0,0,0,1,4,"female","no",36.7599983215332,"yes","yes","med"
1001556,"cal","freeway",2.90000009536743,-1.16532528400421,-2.03659009933472,0,0,0,1,4,"male","yes",11.7700004577637,"yes","yes","med"
1001578,"cal","express",3,-4.42222833633423,-1.61547291278839,0,0,0,1,3,"female","no",15.8199996948242,"yes","yes","high"
1001665,"cal","freeway",2.90000009536743,-3.49712824821472,-0.690745413303375,0,0,0,1,7,"male","yes",16.5100002288818,"no","no","med"
1001672,"cal","freeway",3,-3.76111960411072,-0.726060688495636,0,0,0,1,3,"male","no",24.6900005340576,"yes","yes","high"
1001687,"cal","freeway",2.90000009536743,-1.22931015491486,-1.70673429965973,0,0,0,1,2,"female","no",20.7999992370605,"yes","yes","med"
1001704,"cal","freeway",1.95000004768372,-0.986711502075195,-2.55996751785278,0,0,0,1,1,"female","no",22.7999992370605,"no","no","low"
1001710,"cal","freeway",3,-3.95936584472656,-1.17551255226135,0,0,0,1,2,"male","yes",33.3300018310547,"yes","yes","low"
1001724,"cal","freeway",1.64999997615814,-0.694344758987427,-0.307865172624588,0,0,0,1,8,"male","yes",13.1000003814697,"yes","no","low"
1001823,"cal","express",3.25,-5.42609739303589,-1.38066720962524,0,0,0,1,3,"female","no",20.3999996185303,"yes","yes","med"
1001884,"cal","freeway",3,-3.87433409690857,-1.04477107524872,0,0,0,1,9,"female","no",19.0799999237061,"yes","no","med"
1001965,"cal","freeway",2.90000009536743,-1.22931015491486,-1.70673429965973,0,0,0,1,3,"male","yes",35.6199989318848,"no","no","low"
1001968,"cal","freeway",1.95000004768372,-1.184321641922,-0.718051493167877,0,0,0,1,2,"female","yes",15.460000038147,"yes","yes","med"
1002012,"cal","freeway",3,-3.78704714775085,-0.783575475215912,0,0,0,1,2,"female","yes",15.9099998474121,"yes","no","low"
1002027,"cal","freeway",3.25,-4.82030630111694,-1.76680850982666,0,0,0,2,3,"male","yes",27.4899997711182,"yes","no","low"
1002030,"cal","freeway",3,-3.83762168884277,-0.894240200519562,0,0,0,1,2,"male","no",37.5800018310547,"yes","no","med"
1002054,"cal","freeway",1.64999997615814,-0.29965552687645,-0.0539931692183018,0,0,0,1,3,"male","no",49.4099998474121,"yes","yes","med"
1002128,"cal","freeway",2.90000009536743,-3.40932583808899,-0.677357077598572,0,0,0,1,2,"male","yes",17.0900001525879,"yes","no","med"
1002338,"cal","freeway",2.90000009536743,-1.17436599731445,-2.01962208747864,0,0,0,1,4,"male","yes",24.6800003051758,"yes","yes","med"
1002420,"cal","freeway",3.25,-4.70475435256958,-1.9619152545929,0,0,0,1,5,"male","yes",50.939998626709,"yes","yes","low"
1002485,"cal","express",2.90000009536743,-2.0988655090332,-0.352030903100967,0,0,0,1,4,"male","yes",22.4699993133545,"yes","yes","high"
1002508,"cal","freeway",1.64999997615814,-0.134897410869598,-0.0317698903381824,0,0,0,1,6,"male","no",21.7800006866455,"yes","yes","high"
1002524,"cal","express",3.25,-4.88079786300659,-1.8211784362793,0,0,0,1,4,"male","no",16.8600006103516,"yes","yes","high"
1002530,"cal","express",3.25,-5.34895992279053,-1.59614145755768,0,0,0,2,4,"female","no",29.3600006103516,"yes","yes","low"
1002625,"cal","express",3.25,-4.9283618927002,-1.8033539056778,0,0,0,2,3,"female","no",46.9000015258789,"yes","no","med"
1002626,"cal","freeway",0.824999988079071,-1.38323366641998,-0.289822190999985,0,0,0,3,5,"male","no",56.2999992370605,"yes","no","high"
1002630,"cal","freeway",1.64999997615814,-0.603312909603119,-0.255661249160767,0,0,0,1,4,"male","yes",61.4700012207031,"yes","yes","low"
1002721,"cal","freeway",2.90000009536743,-3.71565771102905,-0.57103967666626,0,0,0,1,2,"female","yes",55.3199996948242,"yes","no","high"
1002735,"cal","freeway",3,-3.76111960411072,-0.726060688495636,0,0,0,2,3,"male","no",21.1800003051758,"yes","no","med"
1002756,"cal","freeway",3.25,-5.5266695022583,-1.29438614845276,0,0,0,1,4,"male","no",32.5800018310547,"yes","yes","med"
1003932,"cal","express",2.90000009536743,-2.88184928894043,-0.404808610677719,0,0,0,1,5,"female","no",38.8699989318848,"yes","no","high"
1003941,"cal","freeway",3,-1.4244886636734,-2.13752770423889,0,0,0,1,4,"male","yes",16.4599990844727,"yes","no","high"
1003972,"cal","express",1.45000004768372,-3.45333862304688,-0.709989726543427,0,0,0,3,4,"male","no",31.0699996948242,"yes","no","med"
1003992,"cal","freeway",3.25,-4.95621728897095,-1.80441296100616,0,0,0,1,4,"male","no",29.8600006103516,"yes","yes","low"
1004009,"cal","express",2.90000009536743,-3.23234558105469,-0.424071103334427,0,0,0,1,2,"female","yes",32.9900016784668,"yes","yes","low"
1004167,"cal","freeway",3.25,-5.39272451400757,-1.59943115711212,0,0,0,2,4,"female","no",24.2999992370605,"yes","yes","high"
1004168,"cal","freeway",3,-4.00259828567505,-1.49866199493408,0,0,0,1,6,"female","no",21.1700000762939,"yes","no","low"
1004202,"cal","freeway",2.90000009536743,-3.24331402778625,-0.732458770275116,0,0,0,1,1,"male","no",39,"yes","no","low"
1004322,"cal","freeway",3.25,-3.54521584510803,-2.38297295570374,0,0,0,1,5,"male","no",44.310001373291,"no","yes","med"
1004374,"cal","freeway",3,-3.83762168884277,-0.894240200519562,0,0,0,2,4,"male","no",34.2999992370605,"no","no","high"
1004491,"cal","freeway",3,-3.86906099319458,-0.986431121826172,0,0,0,1,4,"male","yes",22.3199996948242,"yes","no","med"
1004514,"cal","freeway",2.90000009536743,-1.30070173740387,-1.8316125869751,0,0,0,1,4,"male","no",36.9799995422363,"no","no","high"
1004521,"cal","freeway",1.64999997615814,-0.328635990619659,-0.0580350086092949,0,0,0,2,2,"female","no",48.060001373291,"yes","yes","low"
1004584,"cal","express",1.625,-5.40810298919678,-1.3669593334198,0,0,0,3,3,"male","no",27.4799995422363,"yes","yes","low"
1004600,"cal","freeway",3.25,-3.63232684135437,-2.3451132774353,0,0,0,1,4,"female","no",19.2900009155273,"yes","yes","med"
1004605,"cal","express",3.25,-4.76211357116699,-1.76715445518494,0,0,0,1,4,"male","yes",21.0400009155273,"yes","yes","high"
1004646,"cal","freeway",2.90000009536743,-3.07500839233398,-0.519383370876312,0,0,0,1,6,"male","yes",46.4799995422363,"yes","yes","low"
1004665,"cal","freeway",2.90000009536743,-3.40932583808899,-0.677357077598572,0,0,0,1,2,"male","no",43.6100006103516,"yes","yes","low"
1004792,"cal","freeway",1.64999997615814,-1.60421621799469,-0.165169507265091,0,0,0,1,3,"male","no",34.5800018310547,"yes","no","high"
1004857,"cal","freeway",3,-1.2895872592926,-1.80631864070892,0,0,0,1,5,"male","yes",31.3299999237061,"no","yes","low"
1004899,"cal","freeway",1.64999997615814,-1.18635988235474,-0.235234394669533,0,0,0,1,1,"male","yes",34.9500007629395,"yes","yes","low"
1004908,"cal","express",2.90000009536743,-3.72362542152405,-0.597703397274017,0,0,0,2,2,"female","no",25.2000007629395,"yes","yes","low"
1004957,"cal","freeway",1.625,-4.82030630111694,-1.76680850982666,0,0,0,3,10,"female","yes",34.1300010681152,"yes","yes","low"
1004960,"cal","freeway",2.90000009536743,-2.09010577201843,-2.97650074958801,0,0,0,1,3,"male","no",43.6100006103516,"yes","no","low"
1004963,"cal","freeway",2.90000009536743,-2.56636619567871,-0.397893786430359,0,0,0,1,5,"male","yes",31.6700000762939,"yes","yes","low"
1004971,"cal","freeway",1.64999997615814,-1.2695140838623,-0.222826406359673,0,0,0,1,4,"male","no",67.1699981689453,"yes","yes","low"
1004978,"cal","freeway",3,-4.55850076675415,-1.76834404468536,0,0,0,1,4,"male","yes",16.5100002288818,"yes","yes","low"
1005036,"cal","freeway",3,-4.48538160324097,-1.37879228591919,0,0,0,1,4,"female","no",54.3699989318848,"yes","yes","med"
1005057,"cal","freeway",2.90000009536743,-1.26209509372711,-1.77124094963074,0,0,0,1,4,"female","no",19.2900009155273,"yes","yes","high"
1005080,"cal","freeway",1.95000004768372,-0.920943737030029,-2.82127833366394,0,0,0,1,1,"male","yes",39.5800018310547,"no","yes","low"
1005109,"cal","express",2.90000009536743,-1.98245358467102,-2.90781307220459,0,0,0,1,3,"female","no",18.5699996948242,"no","no","low"
1005152,"cal","express",1.95000004768372,-1.01566183567047,-2.44545006752014,0,0,0,2,5,"female","yes",23.7299995422363,"no","yes","low"
1005262,"cal","freeway",3,-4.00259828567505,-1.49866199493408,0,0,0,1,2,"female","no",42.189998626709,"yes","yes","med"
1005330,"cal","freeway",3,-1.68447744846344,-2.7721860408783,0,0,0,2,5,"female","yes",41.2000007629395,"no","yes","low"
1005403,"cal","freeway",3.25,-5.30517673492432,-1.59417295455933,0,0,0,1,6,"female","no",36.8800010681152,"yes","no","high"
1005466,"cal","freeway",3,-4.00279855728149,-1.64101600646973,0,0,0,1,3,"male","yes",37.4500007629395,"yes","no","med"
1005479,"cal","freeway",1.45000004768372,-2.09986448287964,-0.282606214284897,0,0,0,3,2,"female","no",25.7600002288818,"no","no","med"
1005483,"cal","express",0.975000023841858,-1.03809809684753,-2.36191248893738,0,0,0,3,4,"female","no",75.6500015258789,"yes","yes","med"
1005514,"cal","express",3.25,-5.51944446563721,-1.41494166851044,0,0,0,1,3,"male","yes",25.7000007629395,"yes","yes","med"
1005522,"cal","express",3,-4.36523723602295,-1.52786636352539,0,0,0,1,2,"female","no",24.3199996948242,"yes","no","low"
1005649,"cal","freeway",2.90000009536743,-1.07309114933014,-2.20467114448547,0,0,0,1,6,"male","yes",35.3400001525879,"yes","no","med"
1005758,"cal","freeway",3,-3.83500289916992,-0.885447084903717,0,0,0,2,3,"female","no",20.7999992370605,"yes","yes","low"
1005796,"cal","freeway",2.90000009536743,-2.69046807289124,-2.67158269882202,0,0,0,1,3,"female","no",19.7399997711182,"yes","no","low"
1005837,"cal","freeway",1.625,-5.34895992279053,-1.59614145755768,0,0,0,3,2,"female","no",43.1399993896484,"yes","no","med"
1005969,"cal","freeway",1.64999997615814,-0.251197874546051,-0.0324785113334656,0,0,0,1,3,"male","no",39,"yes","yes","med"
1006016,"cal","freeway",3,-3.95936584472656,-1.17551255226135,0,0,0,1,4,"male","no",30.7000007629395,"yes","no","low"
1006019,"cal","freeway",3,-4.00259828567505,-1.49866199493408,0,0,0,1,3,"male","no",25.7800006866455,"yes","yes","low"
1006031,"cal","freeway",2.90000009536743,-2.92208170890808,-0.520741403102875,0,0,0,1,4,"male","no",34.2900009155273,"yes","yes","low"
1006043,"cal","express",1.95000004768372,-0.972210109233856,-2.61107635498047,0,0,0,1,2,"female","yes",30.5699996948242,"yes","no","high"
1006237,"cal","freeway",3,-4.34614515304565,-1.4147801399231,0,0,0,1,3,"male","no",33.3300018310547,"yes","no","med"
1006259,"cal","freeway",3.25,-4.8493914604187,-1.76664662361145,0,0,0,1,4,"male","yes",51.6699981689453,"yes","yes","low"
1006309,"cal","freeway",1.64999997615814,-0.35771507024765,-0.061940860003233,0,0,0,1,2,"female","yes",21.2199993133545,"yes","no","low"
1006314,"cal","express",3,-4.34614515304565,-1.4147801399231,0,0,0,1,2,"female","no",29.0599994659424,"yes","yes","low"
1006326,"cal","freeway",2.90000009536743,-1.95440995693207,-0.19045689702034,0,0,0,1,4,"male","no",28.0400009155273,"yes","yes","med"
1006359,"cal","freeway",2.90000009536743,-3.47795677185059,-0.693560123443604,0,0,0,1,4,"male","no",23.5900001525879,"yes","yes","high"
1006390,"cal","freeway",2.90000009536743,-2.4223153591156,-2.92657327651978,0,0,0,1,4,"male","no",27.6000003814697,"yes","yes","low"
1006434,"cal","express",3.25,-3.33624029159546,-2.51812410354614,0,0,0,1,4,"male","yes",29.6599998474121,"yes","no","high"
1006447,"cal","express",3.25,-4.2474308013916,-2.25831890106201,0,0,0,1,5,"female","no",19.3299999237061,"yes","yes","high"
1006448,"cal","freeway",3,-3.87433409690857,-1.04477107524872,0,0,0,1,2,"male","no",50.8400001525879,"yes","yes","low"
1006470,"cal","express",2.90000009536743,-3.42425417900085,-0.672425985336304,0,0,0,2,6,"male","yes",29.8600006103516,"yes","no","low"
1006489,"cal","express",3,-3.81253027915955,-0.829618513584137,0,0,0,2,3,"female","yes",48.6300010681152,"yes","no","med"
1006494,"cal","express",2.90000009536743,-2.24618029594421,-2.9263186454773,0,0,0,1,2,"male","yes",15.8999996185303,"no","no","med"
1006497,"cal","freeway",2.90000009536743,-3.40932583808899,-0.677357077598572,0,0,0,1,4,"male","yes",36.7599983215332,"yes","yes","high"
1006504,"cal","express",2.90000009536743,-2.14266037940979,-2.99455833435059,0,0,0,2,3,"female","yes",22.9200000762939,"yes","yes","high"
1006533,"cal","express",1.95000004768372,-0.945457339286804,-2.76010251045227,0,0,0,1,4,"male","yes",25.9200000762939,"yes","yes","high"
1006582,"cal","freeway",2.90000009536743,-2.72618508338928,-2.66049814224243,0,0,0,2,2,"male","yes",17.7800006866455,"yes","no","low"
1007744,"cal","freeway",3,-4.70396089553833,-1.76747107505798,0,0,0,1,6,"male","yes",61.3499984741211,"no","no","med"
1007790,"cal","freeway",1.95000004768372,-1.09608614444733,-1.37535667419434,0,0,0,1,2,"male","no",60.9599990844727,"no","no","high"
1008520,"cal","freeway",1.64999997615814,-0.691220819950104,-0.310752749443054,0,0,0,1,4,"male","yes",29.9699993133545,"yes","yes","low"
1008770,"cal","freeway",3.25,-4.2474308013916,-2.25831890106201,0,0,0,1,5,"male","yes",47.4900016784668,"no","yes","low"
1008986,"cal","freeway",1.5,-2.09010577201843,-2.97650074958801,0,0,0,3,2,"female","yes",50.8300018310547,"no","no","low"
1009472,"cal","freeway",2.90000009536743,-2.3666090965271,-0.357956409454346,0,0,0,1,2,"male","yes",45.0800018310547,"yes","yes","med"
1009755,"cal","freeway",1.64999997615814,-0.818754255771637,-0.281243532896042,0,0,0,1,3,"male","yes",32.9099998474121,"yes","no","med"
1009883,"cal","freeway",1.625,-5.5266695022583,-1.29438614845276,0,0,0,3,2,"female","no",20.9099998474121,"yes","no","low"
1010825,"cal","express",2.90000009536743,-3.23234558105469,-0.424071103334427,0,0,0,1,2,"female","no",40.6100006103516,"yes","yes","med"
1011033,"cal","express",3.25,-5.4352912902832,-1.35246932506561,0,0,0,2,6,"female","no",33.3300018310547,"yes","yes","med"
1011071,"cal","freeway",3,-3.95503926277161,-1.16355812549591,0,0,0,1,3,"male","no",15.8500003814697,"yes","yes","high"
1011651,"cal","freeway",2.90000009536743,-3.37951850891113,-0.687148571014404,0,0,0,1,2,"female","no",39.060001373291,"yes","no","low"
1011954,"cal","freeway",1.95000004768372,-1.05236554145813,-1.64573550224304,0,0,0,2,2,"male","no",54.439998626709,"no","no","med"
1012676,"cal","freeway",3.25,-3.91839647293091,-2.19062376022339,0,0,0,1,5,"female","yes",20.1100006103516,"yes","yes","high"
1012905,"cal","freeway",1.64999997615814,-0.476355969905853,-0.20226277410984,0,0,0,1,5,"male","yes",29.6700000762939,"yes","yes","med"
1013082,"cal","freeway",3.25,-4.2474308013916,-2.25831890106201,0,0,0,1,2,"male","no",29.0799999237061,"yes","no","high"
1015603,"cal","freeway",1.95000004768372,-0.948511183261871,-2.69594478607178,0,0,0,1,3,"male","yes",43.6100006103516,"no","no","low"
1015735,"cal","express",1.64999997615814,-1.79585897922516,-0.178571701049805,0,0,0,2,3,"female","yes",33.1800003051758,"no","no","high"
1017510,"cal","freeway",2.90000009536743,-3.34968447685242,-0.696974217891693,0,0,0,2,4,"male","yes",37.4500007629395,"yes","yes","med"
1017912,"cal","freeway",2.90000009536743,-2.56636619567871,-0.397893786430359,0,0,0,2,6,"female","yes",35.310001373291,"yes","yes","med"
1018102,"cal","freeway",2.90000009536743,-2.0988655090332,-0.352030903100967,0,0,0,1,3,"male","no",43.0299987792969,"yes","no","low"
1019293,"cal","freeway",2.90000009536743,-3.15762138366699,-0.569111824035645,0,0,0,1,2,"male","no",33.1800003051758,"yes","no","low"
1019727,"cal","freeway",1.64999997615814,-0.377091288566589,-0.0645698979496956,0,0,0,1,5,"male","yes",61.6599998474121,"yes","yes","high"
1019813,"cal","express",1.95000004768372,-1.11078095436096,-1.14245593547821,0,0,0,1,2,"male","no",44.8300018310547,"yes","yes","low"
1021845,"cal","freeway",3,-3.84287333488464,-0.911857903003693,0,0,0,1,10,"male","no",35.5900001525879,"yes","no","low"
1022012,"cal","freeway",1.95000004768372,-1.27990806102753,-0.33185949921608,0,0,0,2,3,"female","yes",34.6399993896484,"no","yes","low"
1024409,"cal","freeway",2.90000009536743,-2.28032922744751,-0.375850796699524,0,0,0,1,5,"male","no",56.8400001525879,"yes","yes","low"
1024918,"cal","freeway",3.25,-5.51944446563721,-1.41494166851044,0,0,0,1,2,"male","no",53.3800010681152,"yes","no","high"
1026994,"cal","freeway",3,-4.47656583786011,-1.70571744441986,0,0,0,1,3,"female","no",47.0400009155273,"yes","yes","med"
1027309,"cal","freeway",2.90000009536743,-3.15762138366699,-0.569111824035645,0,0,0,2,2,"male","yes",16.5100002288818,"yes","yes","low"
1027318,"cal","freeway",2.90000009536743,-2.12798714637756,-0.357141107320786,0,0,0,1,3,"male","no",33.0499992370605,"yes","no","low"
1030316,"cal","freeway",3,-4.40030765533447,-1.60842764377594,0,0,0,1,2,"male","no",56.9099998474121,"yes","no","low"
2000293,"cal","freeway",3.25,-4.76211357116699,-1.76715445518494,0,0,0,1,2,"male","no",21.7800006866455,"yes","no","med"
2000658,"cal","freeway",2.90000009536743,-2.39044189453125,-2.9231595993042,0,0,0,1,2,"male","yes",56.7400016784668,"yes","no","low"
2001314,"cal","freeway",2.90000009536743,-2.2498927116394,-0.372040510177612,0,0,0,2,3,"male","no",39.7000007629395,"yes","yes","high"
2001317,"cal","freeway",2.90000009536743,-3.71565771102905,-0.57103967666626,0,0,0,1,3,"male","yes",55.7599983215332,"yes","no","med"
2001661,"cal","freeway",3,-4.70396089553833,-1.76747107505798,0,0,0,1,7,"male","no",14.1700000762939,"yes","no","med"
2001913,"cal","freeway",3,-4.38816785812378,-1.70737302303314,0,0,0,1,2,"male","yes",22.4300003051758,"yes","no","high"
2001947,"cal","freeway",3.25,-5.61555242538452,-1.35284662246704,0,0,0,1,3,"female","no",19.3299999237061,"yes","no","med"
2001974,"cal","freeway",3,-2.48606657981873,-2.82676029205322,0,0,0,1,2,"male","yes",26.9599990844727,"yes","yes","med"
2002051,"cal","freeway",3,-3.82701444625854,-0.870544493198395,0,0,0,2,2,"male","yes",27.7800006866455,"no","no","high"
2002196,"cal","express",1.5,-4.01126003265381,-1.5372451543808,0,0,0,3,3,"male","no",32.0299987792969,"yes","yes","low"
2002346,"cal","freeway",1.95000004768372,-1.07401371002197,-1.49456584453583,0,0,0,1,4,"male","no",63.9000015258789,"no","no","low"
2002766,"cal","express",2.90000009536743,-3.27555251121521,-0.730259120464325,0,0,0,1,1,"male","no",37.5200004577637,"yes","no","med"
2002853,"cal","freeway",1.64999997615814,-1.29517936706543,-0.261394202709198,0,0,0,1,4,"female","no",26.5799999237061,"yes","yes","low"
2003044,"cal","freeway",1.64999997615814,-1.54037034511566,-0.198267295956612,0,0,0,2,2,"female","yes",63.560001373291,"yes","yes","high"
2003179,"cal","freeway",3.25,-5.42609739303589,-1.38066720962524,0,0,0,2,4,"male","no",30.3199996948242,"yes","no","med"
2003316,"cal","freeway",3.25,-4.80761575698853,-1.88022804260254,0,0,0,1,2,"female","no",17.0900001525879,"yes","no","med"
2005365,"cal","freeway",3.25,-5.34895992279053,-1.59614145755768,0,0,0,1,2,"male","yes",17.0900001525879,"yes","no","high"
2005709,"cal","express",2.90000009536743,-3.33989644050598,-0.776789486408234,0,0,0,2,2,"male","no",24.4400005340576,"yes","yes","low"
2005993,"cal","freeway",3,-1.25331962108612,-1.72168326377869,0,0,0,1,4,"male","yes",51.4599990844727,"no","yes","low"
2006013,"cal","freeway",3,-3.83762168884277,-0.894240200519562,0,0,0,1,5,"male","no",29.6299991607666,"yes","yes","med"
2006081,"cal","express",1.5,-4.55850076675415,-1.76834404468536,0,0,0,3,4,"male","yes",37.1199989318848,"yes","yes","low"
2006260,"cal","freeway",3.25,-5.53078556060791,-1.295534491539,0,0,0,2,4,"female","no",20.7999992370605,"yes","yes","med"
2006578,"cal","freeway",1.625,-5.48271179199219,-1.31772768497467,0,0,0,3,3,"male","no",19.2900009155273,"yes","yes","low"
2006693,"cal","freeway",3.25,-4.34278869628906,-2.18704843521118,0,0,0,1,3,"female","no",33.2799987792969,"yes","no","med"
2008162,"cal","freeway",3.25,-4.9283618927002,-1.8033539056778,0,0,0,1,5,"male","no",36.6399993896484,"no","yes","med"
2008399,"cal","express",1.625,-5.51944446563721,-1.41494166851044,0,0,0,3,2,"female","no",43.0900001525879,"yes","yes","high"
2008477,"cal","freeway",3,-3.96800565719604,-1.19955539703369,0,0,0,1,5,"male","yes",13.1000003814697,"yes","no","low"
2008485,"cal","freeway",3,-3.76852798461914,-0.74250990152359,0,0,0,2,5,"female","no",21.8400001525879,"yes","yes","med"
2008489,"cal","freeway",3,-3.96111297607422,-1.54587244987488,0,0,0,1,5,"female","no",21.1800003051758,"yes","yes","high"
2008537,"cal","freeway",2.90000009536743,-3.73152041435242,-0.660269200801849,0,0,0,2,4,"female","no",22.4300003051758,"yes","yes","med"
2008588,"cal","express",3.25,-5.53078556060791,-1.295534491539,0,0,0,1,5,"female","no",24.0900001525879,"yes","yes","med"
2008729,"cal","freeway",3.25,-3.9593551158905,-2.2547914981842,0,0,0,1,3,"female","no",33.2799987792969,"yes","yes","low"
2008740,"cal","freeway",2.90000009536743,-1.32300639152527,-2.10484766960144,0,0,0,2,5,"male","yes",30.3199996948242,"yes","yes","low"
2008741,"cal","freeway",3,-3.82081007957458,-0.842534780502319,0,0,0,2,4,"male","no",32.5800018310547,"yes","yes","high"
2008764,"cal","freeway",3.25,-4.59452772140503,-2.05783271789551,0,0,0,1,2,"male","no",32.3499984741211,"yes","no","med"
