"choice","service","household","cost"
TRUE,"local",61,2.3204
FALSE,"metro",61,3.3422
FALSE,"standard",61,1.7544
TRUE,"budget",62,2.3476
FALSE,"extended",62,13.816
FALSE,"local",62,2.6973
FALSE,"metro",62,3.3422
FALSE,"standard",62,2.1928
FALSE,"budget",63,2.6953
FALSE,"extended",63,13.816
FALSE,"local",63,2.9796
TRUE,"metro",63,3.3422
FALSE,"standard",63,2.5885
FALSE,"budget",64,3.1604
FALSE,"extended",64,13.816
FALSE,"local",64,3.3541
TRUE,"metro",64,3.3422
FALSE,"standard",64,3.0947
FALSE,"budget",65,1.911
FALSE,"extended",65,13.816
TRUE,"local",65,2.4774
FALSE,"metro",65,3.3422
FALSE,"standard",65,1.7544
FALSE,"budget",66,2.0681
FALSE,"extended",66,13.816
TRUE,"local",66,2.599
FALSE,"metro",66,3.3422
FALSE,"standard",66,1.8579
FALSE,"budget",67,2.6012
FALSE,"extended",67,13.816
TRUE,"local",67,2.7997
FALSE,"metro",67,3.3422
FALSE,"standard",67,2.4832
FALSE,"budget",68,2.5703
TRUE,"extended",68,2.3495
FALSE,"local",68,2.8662
FALSE,"metro",68,3.6449
FALSE,"standard",68,2.6993
FALSE,"budget",69,4.6627
FALSE,"extended",69,4.4109
FALSE,"local",69,4.7014
TRUE,"metro",69,3.6449
FALSE,"standard",69,4.6766
FALSE,"budget",70,6.0719
FALSE,"extended",70,6.0708
FALSE,"local",70,6.0765
TRUE,"metro",70,3.6449
FALSE,"standard",70,6.0703
TRUE,"budget",71,2.5997
FALSE,"extended",71,2.9832
FALSE,"local",71,2.8764
FALSE,"metro",71,3.6449
FALSE,"standard",71,2.7114
FALSE,"budget",72,4.9478
FALSE,"extended",72,4.9391
FALSE,"local",72,4.9774
TRUE,"metro",72,3.6449
FALSE,"standard",72,4.9586
TRUE,"budget",73,1.4816
FALSE,"extended",73,13.816
FALSE,"local",73,2.3204
FALSE,"metro",73,13.816
FALSE,"standard",73,1.7544
FALSE,"budget",74,1.3888
FALSE,"extended",74,13.816
FALSE,"local",74,2.3204
FALSE,"metro",74,13.816
TRUE,"standard",74,1.7544
FALSE,"budget",75,2.127
FALSE,"extended",75,13.816
TRUE,"local",75,2.3204
FALSE,"metro",75,13.816
FALSE,"standard",75,1.9301
TRUE,"budget",76,1.3987
FALSE,"extended",76,13.816
FALSE,"local",76,2.3204
FALSE,"metro",76,13.816
FALSE,"standard",76,1.7544
TRUE,"budget",77,1.3083
FALSE,"extended",77,13.816
FALSE,"local",77,2.3204
FALSE,"metro",77,13.816
FALSE,"standard",77,1.7544
FALSE,"budget",78,3.0287
FALSE,"extended",78,13.816
TRUE,"local",78,2.3204
FALSE,"metro",78,13.816
FALSE,"standard",78,2.9533
FALSE,"budget",79,1.6956
FALSE,"extended",79,13.816
TRUE,"local",79,2.3204
FALSE,"metro",79,13.816
FALSE,"standard",79,1.7544
FALSE,"budget",80,1.6827
FALSE,"extended",80,13.816
FALSE,"local",80,2.3204
FALSE,"metro",80,13.816
TRUE,"standard",80,1.7544
TRUE,"budget",81,1.7334
FALSE,"extended",81,13.816
FALSE,"local",81,2.3204
FALSE,"metro",81,13.816
FALSE,"standard",81,1.7544
TRUE,"budget",82,1.5063
FALSE,"extended",82,13.816
FALSE,"local",82,2.5557
FALSE,"metro",82,3.1476
FALSE,"standard",82,1.7544
FALSE,"budget",83,2.0669
FALSE,"extended",83,13.816
FALSE,"local",83,2.7272
FALSE,"metro",83,3.1476
TRUE,"standard",83,1.8563
TRUE,"budget",84,2.3263
FALSE,"extended",84,13.816
FALSE,"local",84,2.3204
FALSE,"metro",84,13.816
FALSE,"standard",84,2.1679
FALSE,"budget",85,1.9685
FALSE,"extended",85,13.816
FALSE,"local",85,2.3204
FALSE,"metro",85,13.816
TRUE,"standard",85,1.7544
FALSE,"budget",86,2.0528
FALSE,"extended",86,13.816
TRUE,"local",86,2.3204
FALSE,"metro",86,13.816
FALSE,"standard",86,1.839
FALSE,"budget",87,2.0528
FALSE,"extended",87,13.816
FALSE,"local",87,2.3204
FALSE,"metro",87,13.816
TRUE,"standard",87,1.839
FALSE,"budget",88,2.7676
FALSE,"extended",88,13.816
TRUE,"local",88,2.6546
FALSE,"metro",88,3.1476
FALSE,"standard",88,2.6686
FALSE,"budget",89,2.714
FALSE,"extended",89,13.816
TRUE,"local",89,2.508
FALSE,"metro",89,3.1476
FALSE,"standard",89,2.6093
FALSE,"budget",90,2.2732
FALSE,"extended",90,13.816
TRUE,"local",90,2.593
FALSE,"metro",90,3.1476
FALSE,"standard",90,2.1054
FALSE,"budget",91,1.1878
FALSE,"extended",91,13.816
FALSE,"local",91,2.508
FALSE,"metro",91,3.1476
TRUE,"standard",91,1.7544
FALSE,"budget",92,4.022
FALSE,"extended",92,3.7381
FALSE,"local",92,3.7709
TRUE,"metro",92,3.6449
FALSE,"standard",92,3.9947
FALSE,"budget",93,1.8099
TRUE,"extended",93,2.4681
FALSE,"local",93,2.4257
FALSE,"metro",93,3.6449
FALSE,"standard",93,2.1529
FALSE,"budget",94,1.9516
FALSE,"extended",94,13.816
FALSE,"local",94,2.3204
FALSE,"metro",94,13.816
TRUE,"standard",94,1.7544
TRUE,"budget",95,1.2698
FALSE,"extended",95,13.816
FALSE,"local",95,2.3204
FALSE,"metro",95,13.816
FALSE,"standard",95,1.7544
TRUE,"budget",96,1.7579
FALSE,"extended",96,13.816
FALSE,"local",96,2.3204
FALSE,"metro",96,13.816
FALSE,"standard",96,1.7544
FALSE,"budget",97,2.6433
FALSE,"extended",97,13.816
TRUE,"local",97,2.3204
FALSE,"metro",97,13.816
FALSE,"standard",97,2.5305
FALSE,"budget",98,2.5619
FALSE,"extended",98,2.4527
TRUE,"local",98,2.4006
FALSE,"metro",98,3.6449
FALSE,"standard",98,2.4389
FALSE,"budget",99,2.4757
FALSE,"extended",99,13.816
TRUE,"local",99,2.3204
FALSE,"metro",99,13.816
FALSE,"standard",99,2.3408
FALSE,"budget",100,3.0974
FALSE,"extended",100,13.816
FALSE,"local",100,3.2527
TRUE,"metro",100,3.3422
FALSE,"standard",100,3.0272
TRUE,"budget",101,2.4973
FALSE,"extended",101,13.816
FALSE,"local",101,2.8094
FALSE,"metro",101,3.3422
FALSE,"standard",101,2.3656
FALSE,"budget",102,2.7942
FALSE,"extended",102,13.816
TRUE,"local",102,2.9882
FALSE,"metro",102,3.3422
FALSE,"standard",102,2.698
FALSE,"budget",103,3.4858
FALSE,"extended",103,13.816
FALSE,"local",103,3.4998
TRUE,"metro",103,3.3422
FALSE,"standard",103,3.4388
FALSE,"budget",104,1.9615
FALSE,"extended",104,13.816
TRUE,"local",104,2.4791
FALSE,"metro",104,3.3422
FALSE,"standard",104,1.7544
TRUE,"budget",105,1.411
FALSE,"extended",105,13.816
FALSE,"local",105,2.3389
FALSE,"metro",105,3.3422
FALSE,"standard",105,1.7544
TRUE,"budget",106,1.2892
FALSE,"extended",106,13.816
FALSE,"local",106,2.3204
FALSE,"metro",106,3.3422
FALSE,"standard",106,1.7544
FALSE,"budget",107,3.101
FALSE,"extended",107,13.816
FALSE,"local",107,3.3365
TRUE,"metro",107,3.3422
FALSE,"standard",107,3.0311
FALSE,"budget",108,1.8976
FALSE,"extended",108,13.816
FALSE,"local",108,2.59
FALSE,"metro",108,3.3422
TRUE,"standard",108,1.7544
FALSE,"budget",109,2.4698
FALSE,"extended",109,13.816
FALSE,"local",109,2.9069
FALSE,"metro",109,3.3422
TRUE,"standard",109,2.3341
FALSE,"budget",110,2.4319
FALSE,"extended",110,13.816
TRUE,"local",110,2.8826
FALSE,"metro",110,3.3422
FALSE,"standard",110,2.2905
FALSE,"budget",111,2.9735
FALSE,"extended",111,13.816
TRUE,"local",111,2.8668
FALSE,"metro",111,3.3422
FALSE,"standard",111,2.8937
FALSE,"budget",112,1.9199
FALSE,"extended",112,13.816
FALSE,"local",112,2.6086
TRUE,"metro",112,3.3422
FALSE,"standard",112,1.7544
FALSE,"budget",113,2.7651
FALSE,"extended",113,13.816
FALSE,"local",113,3.0699
TRUE,"metro",113,3.3422
FALSE,"standard",113,2.6658
FALSE,"budget",114,2.2762
FALSE,"extended",114,13.816
FALSE,"local",114,2.5265
FALSE,"metro",114,3.3422
TRUE,"standard",114,2.109
FALSE,"budget",115,1.8229
FALSE,"extended",115,13.816
TRUE,"local",115,2.508
FALSE,"metro",115,3.1476
FALSE,"standard",115,1.7544
FALSE,"budget",116,3.325
FALSE,"extended",116,13.816
FALSE,"local",116,3.383
TRUE,"metro",116,3.1476
FALSE,"standard",116,3.2696
FALSE,"budget",117,2.9328
FALSE,"extended",117,13.816
TRUE,"local",117,2.5273
FALSE,"metro",117,3.1476
FALSE,"standard",117,2.8495
FALSE,"budget",118,2.0956
FALSE,"extended",118,13.816
FALSE,"local",118,2.6561
FALSE,"metro",118,3.1476
TRUE,"standard",118,1.8916
TRUE,"budget",119,1.1878
FALSE,"extended",119,13.816
FALSE,"local",119,2.508
FALSE,"metro",119,3.1476
FALSE,"standard",119,1.7544
FALSE,"budget",120,2.5665
FALSE,"extended",120,13.816
FALSE,"local",120,2.8148
FALSE,"metro",120,3.1476
TRUE,"standard",120,2.4441
FALSE,"budget",121,2.0373
FALSE,"extended",121,13.816
FALSE,"local",121,2.5233
FALSE,"metro",121,3.1476
TRUE,"standard",121,1.8197
TRUE,"budget",122,1.2892
FALSE,"extended",122,13.816
FALSE,"local",122,2.508
FALSE,"metro",122,3.1476
FALSE,"standard",122,1.7544
FALSE,"budget",123,3.641
FALSE,"extended",123,13.816
FALSE,"local",123,3.7892
TRUE,"metro",123,3.3422
FALSE,"standard",123,3.6009
FALSE,"budget",124,1.7817
FALSE,"extended",124,13.816
TRUE,"local",124,2.4123
FALSE,"metro",124,3.3422
FALSE,"standard",124,1.7544
FALSE,"budget",125,2.5321
FALSE,"extended",125,13.816
TRUE,"local",125,2.3988
FALSE,"metro",125,3.3422
FALSE,"standard",125,2.4051
FALSE,"budget",126,2.7007
FALSE,"extended",126,13.816
TRUE,"local",126,2.4866
FALSE,"metro",126,3.3422
FALSE,"standard",126,2.5945
FALSE,"budget",127,1.7011
FALSE,"extended",127,13.816
FALSE,"local",127,2.4723
TRUE,"metro",127,3.3422
FALSE,"standard",127,1.7544
FALSE,"budget",128,1.5748
FALSE,"extended",128,13.816
TRUE,"local",128,2.4319
FALSE,"metro",128,3.3422
FALSE,"standard",128,1.7544
FALSE,"budget",129,3.2088
FALSE,"extended",129,13.816
FALSE,"local",129,3.0229
TRUE,"metro",129,3.1476
FALSE,"standard",129,3.1463
FALSE,"budget",130,3.8084
FALSE,"extended",130,13.816
FALSE,"local",130,3.9138
FALSE,"metro",130,3.3422
TRUE,"standard",130,3.7746
FALSE,"budget",131,1.2267
FALSE,"extended",131,13.816
TRUE,"local",131,2.3263
FALSE,"metro",131,3.3422
FALSE,"standard",131,1.7544
FALSE,"budget",132,1.4398
FALSE,"extended",132,13.816
TRUE,"local",132,2.3204
FALSE,"metro",132,3.3422
FALSE,"standard",132,1.7544
TRUE,"budget",133,1.209
FALSE,"extended",133,13.816
FALSE,"local",133,2.3204
FALSE,"metro",133,3.3422
FALSE,"standard",133,1.7544
FALSE,"budget",134,1.4563
FALSE,"extended",134,13.816
TRUE,"local",134,2.3204
FALSE,"metro",134,3.3422
FALSE,"standard",134,1.7544
FALSE,"budget",135,1.4586
FALSE,"extended",135,13.816
TRUE,"local",135,2.4159
FALSE,"metro",135,3.3422
FALSE,"standard",135,1.7544
FALSE,"budget",136,1.3218
FALSE,"extended",136,13.816
TRUE,"local",136,2.3656
FALSE,"metro",136,3.3422
FALSE,"standard",136,1.7544
FALSE,"budget",137,2.1247
FALSE,"extended",137,13.816
TRUE,"local",137,2.6644
FALSE,"metro",137,3.3422
FALSE,"standard",137,1.9272
FALSE,"budget",138,1.4134
FALSE,"extended",138,13.816
TRUE,"local",138,2.3533
FALSE,"metro",138,3.3422
FALSE,"standard",138,1.7544
FALSE,"budget",139,2.7187
FALSE,"extended",139,13.816
TRUE,"local",139,2.5384
FALSE,"metro",139,3.1476
FALSE,"standard",139,2.6145
TRUE,"budget",140,1.6658
FALSE,"extended",140,13.816
FALSE,"local",140,2.3952
FALSE,"metro",140,3.3422
FALSE,"standard",140,1.7544
FALSE,"budget",141,2.5487
FALSE,"extended",141,13.816
TRUE,"local",141,2.5688
FALSE,"metro",141,3.3422
FALSE,"standard",141,2.4239
FALSE,"budget",142,1.9095
FALSE,"extended",142,13.816
TRUE,"local",142,2.5305
FALSE,"metro",142,3.3422
FALSE,"standard",142,1.7544
FALSE,"budget",143,1.8856
FALSE,"extended",143,13.816
FALSE,"local",143,2.508
FALSE,"metro",143,3.1476
TRUE,"standard",143,1.7544
FALSE,"budget",144,3.0243
FALSE,"extended",144,13.816
TRUE,"local",144,2.6483
FALSE,"metro",144,3.1476
FALSE,"standard",144,2.9486
FALSE,"budget",145,1.2837
FALSE,"extended",145,13.816
TRUE,"local",145,2.3321
FALSE,"metro",145,3.3422
FALSE,"standard",145,1.7544
FALSE,"budget",146,1.6715
FALSE,"extended",146,13.816
TRUE,"local",146,2.4527
FALSE,"metro",146,3.3422
FALSE,"standard",146,1.7544
FALSE,"budget",147,2.4791
FALSE,"extended",147,13.816
FALSE,"local",147,2.9129
TRUE,"metro",147,3.3422
FALSE,"standard",147,2.3447
FALSE,"budget",148,2.1599
FALSE,"extended",148,13.816
TRUE,"local",148,2.6803
FALSE,"metro",148,3.3422
FALSE,"standard",148,1.9699
FALSE,"budget",149,3.6144
FALSE,"extended",149,13.816
FALSE,"local",149,3.7614
TRUE,"metro",149,3.3422
FALSE,"standard",149,3.5732
FALSE,"budget",150,3.5216
FALSE,"extended",150,13.816
FALSE,"local",150,3.6378
TRUE,"metro",150,3.3422
FALSE,"standard",150,3.4763
TRUE,"budget",151,1.2296
FALSE,"extended",151,13.816
FALSE,"local",151,2.3204
FALSE,"metro",151,3.3422
FALSE,"standard",151,1.7544
FALSE,"budget",152,2.0412
FALSE,"extended",152,13.816
TRUE,"local",152,2.3204
FALSE,"metro",152,13.816
FALSE,"standard",152,1.8245
TRUE,"budget",153,1.2179
FALSE,"extended",153,13.816
FALSE,"local",153,2.3204
FALSE,"metro",153,13.816
FALSE,"standard",153,1.7544
FALSE,"budget",154,1.4748
TRUE,"extended",154,2.374
FALSE,"local",154,2.1983
FALSE,"metro",154,3.6449
FALSE,"standard",154,1.8421
FALSE,"budget",155,3.0027
FALSE,"extended",155,2.4319
TRUE,"local",155,2.6137
FALSE,"metro",155,3.6449
FALSE,"standard",155,2.9253
TRUE,"budget",156,1.3635
FALSE,"extended",156,2.3495
FALSE,"local",156,2.1377
FALSE,"metro",156,3.6449
FALSE,"standard",156,1.7544
FALSE,"budget",157,2.6892
FALSE,"extended",157,2.6851
TRUE,"local",157,2.596
FALSE,"metro",157,3.6449
FALSE,"standard",157,2.5817
FALSE,"budget",158,1.6487
FALSE,"extended",158,2.3495
FALSE,"local",158,2.1377
FALSE,"metro",158,3.6449
TRUE,"standard",158,1.7544
FALSE,"budget",159,2.9275
FALSE,"extended",159,13.816
FALSE,"local",159,3.1839
TRUE,"metro",159,3.1476
FALSE,"standard",159,2.8437
FALSE,"budget",160,4.0303
FALSE,"extended",160,13.816
FALSE,"local",160,3.9553
TRUE,"metro",160,3.1476
FALSE,"standard",160,4.0033
FALSE,"budget",161,2.4816
FALSE,"extended",161,13.816
TRUE,"local",161,2.5447
FALSE,"metro",161,3.1476
FALSE,"standard",161,2.3476
FALSE,"budget",162,1.9601
FALSE,"extended",162,13.816
FALSE,"local",162,2.5185
FALSE,"metro",162,3.1476
TRUE,"standard",162,1.7544
FALSE,"budget",163,1.6214
FALSE,"extended",163,13.816
FALSE,"local",163,2.508
FALSE,"metro",163,3.1476
TRUE,"standard",163,1.7544
FALSE,"budget",164,2.4159
FALSE,"extended",164,13.816
FALSE,"local",164,2.5471
FALSE,"metro",164,3.1476
TRUE,"standard",164,2.2721
TRUE,"budget",165,2.1005
FALSE,"extended",165,13.816
FALSE,"local",165,2.5177
FALSE,"metro",165,3.1476
FALSE,"standard",165,1.8976
FALSE,"budget",166,2.621
FALSE,"extended",166,13.816
FALSE,"local",166,2.7713
FALSE,"metro",166,3.1476
TRUE,"standard",166,2.5055
FALSE,"budget",167,1.9643
FALSE,"extended",167,13.816
FALSE,"local",167,2.6899
FALSE,"metro",167,3.1476
TRUE,"standard",167,1.7544
FALSE,"budget",168,1.3533
FALSE,"extended",168,13.816
TRUE,"local",168,2.3768
FALSE,"metro",168,3.3422
FALSE,"standard",168,1.7544
FALSE,"budget",169,1.1878
FALSE,"extended",169,13.816
TRUE,"local",169,2.3204
FALSE,"metro",169,3.3422
FALSE,"standard",169,1.7544
TRUE,"budget",170,1.3164
FALSE,"extended",170,13.816
FALSE,"local",170,2.3637
FALSE,"metro",170,3.3422
FALSE,"standard",170,1.7544
FALSE,"budget",171,2.2966
FALSE,"extended",171,13.816
FALSE,"local",171,2.807
TRUE,"metro",171,3.3422
FALSE,"standard",171,2.133
FALSE,"budget",172,1.5433
FALSE,"extended",172,13.816
TRUE,"local",172,2.3204
FALSE,"metro",172,3.3422
FALSE,"standard",172,1.7544
FALSE,"budget",173,2.5696
FALSE,"extended",173,13.816
TRUE,"local",173,2.9902
FALSE,"metro",173,3.3422
FALSE,"standard",173,2.4476
FALSE,"budget",174,2.0189
FALSE,"extended",174,13.816
FALSE,"local",174,2.6693
TRUE,"metro",174,3.3422
FALSE,"standard",174,1.7967
FALSE,"budget",175,2.1114
FALSE,"extended",175,13.816
TRUE,"local",175,2.7187
FALSE,"metro",175,3.3422
FALSE,"standard",175,1.911
FALSE,"budget",176,2.0149
FALSE,"extended",176,13.816
TRUE,"local",176,2.6672
FALSE,"metro",176,3.3422
FALSE,"standard",176,1.7918
FALSE,"budget",177,1.8229
FALSE,"extended",177,13.816
TRUE,"local",177,2.5665
FALSE,"metro",177,3.3422
FALSE,"standard",177,1.7544
FALSE,"budget",178,2.4406
FALSE,"extended",178,13.816
FALSE,"local",178,2.9113
TRUE,"metro",178,3.3422
FALSE,"standard",178,2.3006
FALSE,"budget",179,2.3758
FALSE,"extended",179,13.816
FALSE,"local",179,2.8987
FALSE,"metro",179,3.1476
TRUE,"standard",179,2.2257
FALSE,"budget",180,2.3702
FALSE,"extended",180,13.816
FALSE,"local",180,2.508
FALSE,"metro",180,3.1476
